"match_date,location_id,match_format,match_type,player1,player2,p1_result,p2_result"
"8/29/18,1,10-BALL,Current Match,10,16,Won,Loss"
"8/29/18,1,10-BALL,Current Match,21,3,Won,Lost On Hill"
"8/29/18,4,10-BALL,Make Up Match,1,8,Won,Loss"
"9/3/18,4,8-BALL,Current Match,15,8,Won,Loss"
"9/3/18,4,8-BALL,Current Match,26,22,Won,Loss"
"9/3/18,4,8-BALL,Current Match,11,19,Won,Loss"
"9/3/18,4,8-BALL,Current Match,25,1,Won,Loss"
"9/3/18,4,8-BALL,Current Match,12,19,Won,Loss"
"9/3/18,4,9-BALL,Make Up Match,12,19,Loss,Won"
"9/3/18,4,10-BALL,Make Up Match,12,19,Won,Loss"
"8/29/18,1,10-BALL,Make Up Match,14,13,Won,Loss"
"9/5/18,1,8-BALL,Current Match,24,23,Won,Loss"
"9/5/18,1,10-BALL,Make Up Match,24,21,Won,Loss"
"9/5/18,1,8-BALL,Current Match,14,4,Won,Loss"
"8/29/18,1,8-BALL,Current Match,5,13,Won,Loss"
"9/5/18,1,8-BALL,Current Match,20,21,Won,Loss"
"9/6/18,1,8-BALL,Make Up Match,24,18,Won,Loss"
"9/3/18,4,8-BALL,Make Up Match,6,17,Won,Loss"
